filename,text,duration,quality_score,prosody_class
batch3_mtv_cut_finals_033_reseg00_fsplit07.wav,"That was enough to beat Big Al, anxiously awaiting backstage with a 20. Now, were you on the <sigh> same? That is a 21.5 for Paige.",10.0,0.9,emphatic
batch3_mtv_cut_finals_016.wav,"who has laid down tracks for rap icons LL Cool J. And Ice, now you are from the Boogie Down Bronx. So did the froze remind you of home, Andy? Yeah.",10.0,0.94,emphatic
batch2_mtv_cut_dowrong_001_reseg01_fsplit01.wav,"with a 21. Julio, was you digging my girl? Would you? Otherwise, my man Daze is coming back in our 70s. Who work in the 8th grade, you know where my parents are?",10.0,0.9,emphatic
batch4_lisa_writing_waterfalls_002.wav,"and lay the rap down. But when I was writing it, you know, the first thing I said was, I seen a rainbow yesterday, you know, and I just started reflecting on my life as if it was a storm. <sigh>",11.28,1.0,emphatic
batch3_mtv_cut_finals_026.wav,"a fool if you went anywhere now. <sigh> Little Noah has a shot at making his dreams come true by beating Silky, and Chris Wilson wild.",10.0,0.88,emphatic
batch4_lefteye_rare_home_footage_2002_001.wav,where you need to come when it's time for you to record your project we have the best going rates we have the best engineers we have the best equipment add something to that just,10.0,0.887,emphatic
batch3_mobo_awards_2000_p1_003.wav,in seven years. I've been backstage doing all the hard work. That's the hard work I've been doing. For the man who has quite a record for bailing me out of jail.,10.0,0.9,emphatic
batch4_tlc_tmf_dutch_interview_1999_005.wav,"The song will set the tone for the image and pretty. <sigh> I mean just picture like fields of flowers and real flowy material and Mecca in the States, in the United States. <sigh>",14.0,1.0,emphatic
batch3_mobo_awards_2000_p1_007.wav,"<sigh> Have you been rumbling in my dressing room? ...tunes of artists contribute something to the music they make. It might be good, or it might be bad.",10.0,0.94,emphatic
batch4_lefteye_uk_choice_interview_oct2001_008_reseg00_fsplit00.wav,We included it in one package and they didn't take me up on it. I didn't miss the girls when I did my solo project at all.,10.0,0.94,emphatic
batch3_crazysexycool_part1_002.wav,"from back in the 50s and they had their eyebrows arched or even just drawn. What you do, it's been here before in some shape, fashion, or form.",10.0,0.94,emphatic
batch4_lisa_interview_short_003.wav,"But it doesn't really happen. I just want to make music. And I want to do a lot of things, you know. <sigh>",7.72,0.96,emphatic
batch3_crazysexycool_part1_013.wav,Than any other artist that is in any other female artist is in this business right now So we kind of fought to have the song ourselves a lot of people before our album even came out,10.0,0.873,excited
pass3_latelick2_001.wav,"It was old video that kind of looked the way that it did and we were the stars of the video You know, I mean I grew up singing on the church fire, but I do think that <sigh>",10.0,0.88,emphatic
batch3_mtv_cut_finals_033_reseg00_fsplit08.wav,"Now, she has more styles than Ralph Lauren. Now, that was bad. Artists, R&B acts around. Dropping Christian rhymes with their songs.",10.0,0.96,emphatic
batch2_homevideo_1989_dad_010.wav,Running in the house and sliding so my dad bans the dog from this it's winter time for this dog <sigh>,7.5,0.96,emphatic
batch3_kids_choice_1999_006.wav,"Which is something that's dated, but everyone's, you know, taking it in the wrong way.",7.05,0.9,emphatic
batch3_mtv_cut_finals_033_reseg00_fsplit09.wav,"Will I? .5 so far, Drew Hill. Now, did you feel the energy? Super producer QD3. And as you see.",10.0,0.865,emphatic
batch2_mtv_cut_ep1_012.wav,a 24.5 the last chance for somebody to beat him and come back to compete in our semi-finals <sigh>,7.91,0.96,emphatic
batch3_mtv_cut_finals_005.wav,But here's something else we're trying to throw the winner. Big Al has his eyes on the prize with a 24.5. News. <sigh>,7.86,1.0,emphatic
batch3_source_awards_1999_002.wav,next award it wouldn't be fair for everybody in tv land if they couldn't see my entire outfit <sigh>,5.04,1.0,excited
batch4_lefteye_2001_mtv_supernova_promo_004.wav,"I tried to do things from a very positive point of view because the PLC has achieved a lot but <sigh> Do in the future, you know outside of singing I would love to",10.0,0.88,emphatic
pass3_lastdays_dvd_010.wav,So I one swing crack <sigh> Bash the winds and it's like we all stopped we was doing and we look <sigh> very similar <sigh>,9.02,0.92,emphatic
